UDAF,Ville,Téléphone,Nom,Prénom,Poste communication
UDAF 01,Bourg-en-Bresse,04 74 32 11 40,,,
UDAF 02,Laon,03 23 23 27 46,,,
UDAF 03,Moulins,04 70 48 70 00,,,
UDAF 04,Digne-les-Bains,04 92 30 57 10,,,
UDAF 05,Gap,04 92 51 30 21,,,
UDAF 06,Nice,04 92 47 81 00,Zemp,Marianne,Chargée de communication
UDAF 07,Privas,04 75 64 54 00,,,
UDAF 08,Charleville-Mézières,03 24 57 22 77,,,
UDAF 09,Foix,05 61 05 46 09,,,
UDAF 10,Troyes,03 25 43 20 00,,,
UDAF 11,Carcassonne,04 68 47 72 00,,,
UDAF 12,Rodez,05 65 73 31 92,,,
UDAF 13,Marseille,04 91 10 06 00,Cruz,Noëlla,Resp. Pôle Institution Vie associative et Communication
UDAF 14,Caen,02 31 54 64 20,,,
UDAF 15,Aurillac,04 71 43 43 43,,,
UDAF 16,Angoulême,05 45 39 31 00,,,
UDAF 17,Lagord,05 46 28 36 00,,,
UDAF 18,Bourges,02 48 24 03 49,,,
UDAF 19,Tulle,05 55 29 98 40,,,
UDAF 2A,Ajaccio,04 95 22 25 89,,,
UDAF 2B,Bastia,04 95 32 67 86,,,
UDAF 21,Dijon,03 80 53 13 80,Pau,Axelle,Communication
UDAF 22,Saint-Brieuc,02 96 33 40 76,,,
UDAF 23,Guéret,05 55 52 08 00,,,
UDAF 24,Périgueux,05 53 06 41 11,,,
UDAF 25,Besançon,03 81 80 21 74,Troutet,Lucie,Responsable communication et vie associative
UDAF 26,Valence,04 75 78 20 00,,,
UDAF 27,Évreux,02 32 29 67 00,,,
UDAF 28,Chartres,02 37 88 13 13,,,
UDAF 29,Quimper,02 98 10 38 00,,,
UDAF 30,Nîmes,04 66 02 17 33,,,
UDAF 31,Toulouse,05 61 13 13 82,,,
UDAF 32,Auch,05 62 61 52 60,,,
UDAF 33,Bordeaux,05 56 01 42 00,Senet,Agnès,Chargée de communication
UDAF 34,Montpellier,04 99 13 23 45,,,
UDAF 35,Rennes,02 30 03 95 60,,,
UDAF 36,Châteauroux,02 54 60 45 60,,,
UDAF 37,Tours,02 47 77 55 00,,,
UDAF 38,Grenoble,04 76 50 93 92,,,
UDAF 39,Lons-le-Saunier,03 84 47 04 17,,,
UDAF 40,Mont-de-Marsan,05 58 06 80 40,,,
UDAF 41,Blois,02 54 90 23 45,Neau,Ludivine,Chargée de mission vie associative et communication
UDAF 42,Saint-Étienne,04 77 43 39 39,,,
UDAF 43,Le Puy-en-Velay,04 71 06 60 40,,,
UDAF 44,Saint-Herblain / Nantes,02 51 80 30 00,,,
UDAF 45,Orléans,02 38 71 99 99,,,
UDAF 46,Cahors,05 65 35 87 30,,,
